Drug,Class_ID,Classification
etamivan,R07AB04,Other respiratory system products
hydrogen peroxide,D11AX25,Other dermatological preparations
mofebutazone,M01AA02,Anti-inflammatory and antirheumatic products
Acquired Abnormality,T020,NA
norgestrel and estrogen,G03FA10,Sex hormones and modulators of the genital system
castor oil,A06AB05,Drugs for constipation
laronidase,A16AB05,Other alimentary tract and metabolism products
Other antinematodals in ATC,P02CX,Anthelmintics
melevodopa,N04BA04,Anti-parkinson drugs
nordazepam,N05BA16,Psycholeptics
metformin and repaglinide,A10BD14,Drugs used in diabetes
ketobemidone and antispasmodics,N02AG02,Analgesics
acenocoumarol,B01AA07,Antithrombotic agents
lenvatinib,L01XE29,Antineoplastic agents
hydrogen peroxide,S02AA06,Otologicals
OCULAR VASCULAR DISORDER AGENTS,S01L,Ophthalmologicals
Contact laxatives,A06AB,Drugs for constipation
meropenem,J01DH02,Antibacterials for systemic use
Papaverine and derivatives containing drugs for functional gastrointestinal disorders,A03AD,Drugs for functional gastrointestinal disorders
amrubicin,L01DB10,Antineoplastic agents
ANTIMYCOTICS FOR SYSTEMIC USE,J02,Antimycotics for systemic use
"fluorouracil, combinations",L01BC52,Antineoplastic agents
Vertebrate,T010,NA
etamiphylline,R03DA06,Drugs for obstructive airway diseases
ANTIDIARRHEAL MICROORGANISMS,A07F,Antidiarrheals
"MAO B Inhibitors, dopaminergic anti-parkinson drugs",N04BD,Anti-parkinson drugs
prednylidene,H02AB11,Corticosteroids for systemic use
tulobuterol,R03CC11,Drugs for obstructive airway diseases
phenothrin,P03AC03,Ectoparasiticides
chlorhexidine,S02AA09,Otologicals
Pertussis vaccines,J07AJ,Vaccines
sodium picosulfate,A06AB08,Drugs for constipation
trifarotene,D10AD06,Anti-acne preparations
glucarpidase,V03AF09,All other therapeutic products
melitracen and psycholeptics,N06CA02,Psychoanaleptics
Valerianae radix,N05CM09,Psycholeptics
OTHER BETA-LACTAM ANTIBACTERIALS in ATC,J01D,Antibacterials for systemic use
"silver sulfadiazine, combinations",D06BA51,Antibiotics and chemotherapeutics for dermatological use
ropinirole,N04BC04,Anti-parkinson drugs
Professional Society,T094,NA
Antigonadotropins and similar agents,G03XA,Sex hormones and modulators of the genital system
cefotiam,J01DC07,Antibacterials for systemic use
phanquinone,P01AX04,Antiprotozoals
triamcinolone,H02AB08,Corticosteroids for systemic use
tapentadol,N02AX06,Analgesics
tolcapone,N04BX01,Anti-parkinson drugs
"Pyrimidine analogues, antineoplastic antimetabolites",L01BC,Antineoplastic agents
Medicated dressings with antiinfectives,D09AA,Medicated dressings
Monobactams,J01DF,Antibacterials for systemic use
pheneticillin,J01CE05,Antibacterials for systemic use
eosin,D08AX02,Antiseptics and disinfectants
ANTIVIRALS FOR SYSTEMIC USE,J05,Antivirals for systemic use
dipyridamole,B01AC07,Antithrombotic agents
doxepin,N06AA12,Psychoanaleptics
parecoxib,M01AH04,Anti-inflammatory and antirheumatic products
"nicotinic acid, combinations",C10AD52,Lipid modifying agents
cyclobenzaprine,M03BX08,Muscle relaxants
Centrally acting sympathomimetics,N06BA,Psychoanaleptics
"Pregnadien derivatives, progestogens",G03DB,Sex hormones and modulators of the genital system
ofatumumab,L01XC10,Antineoplastic agents
telaprevir,J05AP02,Antivirals for systemic use
ganirelix,H01CC01,Pituitary and hypothalamic hormones and analogues
mecasermin,H01AC03,Pituitary and hypothalamic hormones and analogues
reserpine and diuretics,C02LA01,Antihypertensives
QUINOLONE ANTIBACTERIALS,J01M,Antibacterials for systemic use
dienogest,G03DB08,Sex hormones and modulators of the genital system
alizapride,A03FA05,Drugs for functional gastrointestinal disorders
prolintane,N06BX14,Psychoanaleptics
cytisine,N07BA04,Other nervous system drugs
clopamide,C03BA03,Diuretics
Combinations of oral blood glucose lowering drugs,A10BD,Drugs used in diabetes
"macrogol, combinations",A06AD65,Drugs for constipation
Beta-lactamase sensitive penicillins,J01CE,Antibacterials for systemic use
Pneumococcal vaccines,J07AL,Vaccines
"rubella, combinations with mumps, live attenuated",J07BJ51,Vaccines
calcium gluconate,D11AX03,Other dermatological preparations
LIPID MODIFYING AGENTS,C10,Lipid modifying agents
Propulsives,A03FA,Drugs for functional gastrointestinal disorders
tesamorelin,H01AC06,Pituitary and hypothalamic hormones and analogues
simeprevir,J05AP05,Antivirals for systemic use
sulfacetamide,D10AF06,Anti-acne preparations
capsaicin,M02AB01,Topical products for joint and muscular pain
Other gynecological antiinfectives and antiseptics in ATC,G01AX,Gynecological antiinfectives and antiseptics
"chlorzoxazone, combinations excl. psycholeptics",M03BB53,Muscle relaxants
dolutegravir and rilpivirine,J05AR21,Antivirals for systemic use
valsartan and aliskiren,C09DX02,Agents acting on the renin–angiotensin system
polmacoxib,M01AH07,Anti-inflammatory and antirheumatic products
fedrilate,R05DB14,Cough and cold preparations
spiramycin and metronidazole,J01RA04,Antibacterials for systemic use
metizoline,R01AA10,Nasal preparations
ergoloid mesylates,C04AE01,Peripheral vasodilators
oxedrine,S01GA06,Ophthalmologicals
isopropanol,D08AX05,Antiseptics and disinfectants
fenspiride,R03BX01,Drugs for obstructive airway diseases
potassium citrate,A12BA02,Mineral supplements
"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",J07AL52,Vaccines
"thiocolchicoside, combinations",M03BX55,Muscle relaxants
technetium (99mTc) technegas,V09EA02,Diagnostic radiopharmaceuticals
alclometasone,S01BA10,Ophthalmologicals
"azithromycin, fluconazole and secnidazole",J01RA07,Antibacterials for systemic use
benzonatate,R05DB01,Cough and cold preparations
empagliflozin,A10BK03,Drugs used in diabetes
sulfamethizole,D06BA04,Antibiotics and chemotherapeutics for dermatological use
dolasetron,A04AA04,Antiemetics and antinauseants
teduglutide,A16AX08,Other alimentary tract and metabolism products
Combinations for eradication of Helicobacter pylori,A02BD,Drugs for acid related disorders
iclaprim,J01EA03,Antibacterials for systemic use
fosfonet,J05AD02,Antivirals for systemic use
"Synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",A03AA,Drugs for functional gastrointestinal disorders
chloropyramine,D04AA09,Antipruritics
peginterferon alfa-2b,L03AB10,Immunostimulants
dezocine,N02AX03,Analgesics
Other bacterial vaccines in ATC,J07AX,Vaccines
carvedilol and ivabradine,C07FX06,Beta blocking agents
voclosporin,L04AD03,Immunosuppressants
muzolimine,C03CD01,Diuretics
desmopressin,H01BA02,Pituitary and hypothalamic hormones and analogues
"Corticosteroids, moderately potent, combinations with antibiotics",D07CB,Corticosteroids
chiniofon,P01AX01,Antiprotozoals
nicotinyl alcohol,C10AD05,Lipid modifying agents
sincalide,V04CC03,Diagnostic agents
lynestrenol and estrogen,G03FA07,Sex hormones and modulators of the genital system
PERITONEAL DIALYTICS,B05D,Blood substitutes and perfusion solutions
tedisamil,C01BD06,Cardiac therapy
"xylometazoline, combinations",S01GA53,Ophthalmologicals
tiazofurine,L01XX18,Antineoplastic agents
sulfamerazine,J01ED07,Antibacterials for systemic use
clobetasone,S01BA09,Ophthalmologicals
cibenzoline,C01BG07,Cardiac therapy
Vitamin B-complex with anabolic steroids,A11ED,Vitamins
tinidazole,P01AB02,Antiprotozoals
mersalyl,C03BC01,Diuretics
doravirine,J05AG06,Antivirals for systemic use
acitretin,D05BB02,Antipsoriatics
mandelic acid,J01XX06,Antibacterials for systemic use
interferon alfa-n1,L03AB06,Immunostimulants
pegaptanib,S01LA03,Ophthalmologicals
cromoglicic acid,A07EB01,Antidiarrheals
cefaclor,J01DC04,Antibacterials for systemic use
lomefloxacin,J01MA07,Antibacterials for systemic use
Body Location or Region,T029,NA
desoximetasone,D07XC02,Corticosteroids
"glucose, combinations",C05BB56,Vasoprotectives
thonzylamine,D04AA01,Antipruritics
glycopyrronium bromide,A03AB02,Drugs for functional gastrointestinal disorders
selexipag,B01AC27,Antithrombotic agents
"Arsenic compounds, for leishmaniasis and trypanosomiasis",P01CD,Antiprotozoals
lacosamide,N03AX18,Antiepileptics
"prenylamine, combinations",C01DX52,Cardiac therapy
pasireotide,H01CB05,Pituitary and hypothalamic hormones and analogues
"Sulfonamides and potassium in combination, low-ceiling diruetics, excluding thiazides",C03BB,Diuretics
isoflurane,N01AB06,Anesthetics
ADRENERGICS FOR SYSTEMIC USE,R03C,Drugs for obstructive airway diseases
fluorocarbon blood substitutes,B05AA03,Blood substitutes and perfusion solutions
sulfafenazol,S01AB05,Ophthalmologicals
captopril and diuretics,C09BA01,Agents acting on the renin–angiotensin system
Other antihypertensives and diuretics in ATC,C02LX,Antihypertensives
ademetionine,A16AA02,Other alimentary tract and metabolism products
AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01C,Antiprotozoals
methylphenobarbital,N03AA01,Antiepileptics
iodine (125I) human albumin,V09GB02,Diagnostic radiopharmaceuticals
resorcinol,D10AX02,Anti-acne preparations
"Methanolquinolines, antimalarial",P01BC,Antiprotozoals
OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS in ATC,S03D,Ophthalmological and otological preparations
thallium (201Tl) chloride,V09GX01,Diagnostic radiopharmaceuticals
ifenprodil,C04AX28,Peripheral vasodilators
Somatostatin and analogues,H01CB,Pituitary and hypothalamic hormones and analogues
Organic Chemical,T109,NA
gatifloxacin,S01AE06,Ophthalmologicals
"dihydrocodeine, combinations",N02AA58,Analgesics
felbinac,M02AA08,Topical products for joint and muscular pain
opicapone,N04BX04,Anti-parkinson drugs
rubidium (82Rb) chloride,V09GX04,Diagnostic radiopharmaceuticals
methyclothiazide and potassium,C03AB08,Diuretics
progabide,N03AG05,Antiepileptics
fencamfamin,N06BA06,Psychoanaleptics
benralizumab,R03DX10,Drugs for obstructive airway diseases
Nerve depressant drugs,V03AZ,All other therapeutic products
dimethylphthalate,P03BX02,Ectoparasiticides
niflumic acid,M01AX02,Anti-inflammatory and antirheumatic products
glisoxepide,A10BB11,Drugs used in diabetes
fluocortolone,D07XC05,Corticosteroids
PSYCHOLEPTICS,N05,Psycholeptics
"Antiinflammatory preparations, non-steroids for topical use",M02AA,Topical products for joint and muscular pain
ceftibuten,J01DD14,Antibacterials for systemic use
Direct thrombin inhibitors,B01AE,Antithrombotic agents
technetium (99mTc) sulesomab,V09HA04,Diagnostic radiopharmaceuticals
"Fatty acid derivatives, antiepileptics",N03AG,Antiepileptics
cation exchange resins,V04CG01,Diagnostic agents
sorafenib,L01XE05,Antineoplastic agents
caplacizumab,B01AX07,Antithrombotic agents
dapsone,D10AX05,Anti-acne preparations
carglumic acid,A16AA05,Other alimentary tract and metabolism products
tolmetin,M01AB03,Anti-inflammatory and antirheumatic products
cloperastine,R05DB21,Cough and cold preparations
fludroxycortide,D07AC07,Corticosteroids
hydroxyzine,N05BB01,Psycholeptics
IMMUNOSTIMULANTS,L03,Immunostimulants
MAO inhibitors and diuretics,C02LL,Antihypertensives
faropenem,J01DI03,Antibacterials for systemic use
pentagastrin,V04CG04,Diagnostic agents
zinc bandage with supplements,D09AB02,Medicated dressings
pholcodine,R05DA08,Cough and cold preparations
Iron in various other combinations,B03AE10,Antianemic preparations
rutoside,C05CA01,Vasoprotectives
amlodipine and diuretics,C08GA02,Calcium channel blockers
butylscopolamine and analgesics,A03DB04,Drugs for functional gastrointestinal disorders
diazoxide,V03AH01,All other therapeutic products
combinations of different antibiotics,S01AA30,Ophthalmologicals
ferric oxide polymaltose complexes,B03AB05,Antianemic preparations
flucytosine,J02AX01,Antimycotics for systemic use
cloxacillin,J01CF02,Antibacterials for systemic use
spaglumic acid,R01AC05,Nasal preparations
sulbutiamine,A11DA02,Vitamins
fluorometholone,C05AA06,Vasoprotectives
trifluperidol,N05AD02,Psycholeptics
isopropamide and psycholeptics,A03CA01,Drugs for functional gastrointestinal disorders
"aminophylline, combinations",R03DA55,Drugs for obstructive airway diseases
"octenidine, combinations",G01AX66,Gynecological antiinfectives and antiseptics
carbocromen,C01DX05,Cardiac therapy
otilonium bromide and psycholeptics,A03CA04,Drugs for functional gastrointestinal disorders
"Iron trivalent, oral antianemic preparations",B03AB,Antianemic preparations
factor VIII inhibitor bypassing activity,B02BD03,Antihemorrhagics
ferric acetyl transferrin,B03AB08,Antianemic preparations
benorilate,N02BA10,Analgesics
levobunolol,S01ED03,Ophthalmologicals
phentolamine,C04AB01,Peripheral vasodilators
medical air,V03AN05,All other therapeutic products
HEPATIC AND RETICULO ENDOTHELIAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,V09D,Diagnostic radiopharmaceuticals
CALCIUM SUPPLEMENTS,A12A,Mineral supplements
Other vasodilators used in cardiac diseases in ATC,C01DX,Cardiac therapy
diphtheria immunoglobulin,J06BB10,Immune sera and immunoglobulins
Corticosteroids acting locally,A07EA,Antidiarrheals
"Progestogens, endocrine therapy drugs",L02AB,Endocrine therapy
clotrimazole,D01AC01,Antifungals for dermatological use
alfaxalone,N01AX05,Anesthetics
Governmental or Regulatory Activity,T064,NA
cinacalcet,H05BX01,Calcium homeostasis
potassium chloride,B05XA01,Blood substitutes and perfusion solutions
saxagliptin,A10BH03,Drugs used in diabetes
pivmecillinam,J01CA08,Antibacterials for systemic use
Alpha and beta blocking agents and thiazides,C07BG,Beta blocking agents
trometamol,B05BB03,Blood substitutes and perfusion solutions
mebutizide and potassium-sparing agents,C03EA05,Diuretics
combinations of corticosteroids,D07XB30,Corticosteroids
DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,Drugs for treatment of bone diseases
Medical gases,V03AN,All other therapeutic products
olanzapine,N05AH03,Psycholeptics
hexoprenaline,R03AC06,Drugs for obstructive airway diseases
gallium (68Ga) edotreotide,V09IX09,Diagnostic radiopharmaceuticals
elosulfase alfa,A16AB12,Other alimentary tract and metabolism products
isoprenaline,C01CA02,Cardiac therapy
Nitrogen mustard analogues,L01AA,Antineoplastic agents
conjugated estrogens,G03CA57,Sex hormones and modulators of the genital system
botulinum antitoxin,J06AA04,Immune sera and immunoglobulins
amlodipine,C08CA01,Calcium channel blockers
tritoqualine,R06AX21,Antihistamines for systemic use
vaccinia immunoglobulin,J06BB07,Immune sera and immunoglobulins
trypsin,D03BA01,Preparations for treatment of wounds and ulcers
sodium fluoride,A01AA01,Stomatological preparations
eletriptan,N02CC06,Analgesics
butanilicaine,N01BB05,Anesthetics
brigatinib,L01XE43,Antineoplastic agents
tretoquinol,R03AC09,Drugs for obstructive airway diseases
ciclopirox,D01AE14,Antifungals for dermatological use
Chemical Viewed Functionally,T120,NA
meladrazine,G04BD03,Urologicals
"ampicillin, combinations",J01CA51,Antibacterials for systemic use
ramipril and amlodipine,C09BB07,Agents acting on the renin–angiotensin system
iodamide,V08AA03,Contrast media
enisamium iodide,J05AX17,Antivirals for systemic use
"famotidine, combinations",A02BA53,Drugs for acid related disorders
adipiodone,V08AC04,Contrast media
iprazochrome,N02CX03,Analgesics
calcium citrate lysine complex,A12AA09,Mineral supplements
ethylestrenol,A14AB02,Anabolic agents for systemic use
doxylamine,R06AA09,Antihistamines for systemic use
indium (111In) oxinate labelled cells,V09HB01,Diagnostic radiopharmaceuticals
formoterol and aclidinium bromide,R03AL05,Drugs for obstructive airway diseases
acetylsalicylic acid,A01AD05,Stomatological preparations
etoglucid,L01AG01,Antineoplastic agents
"ergotamine, combinations with psycholeptics",N02CA72,Analgesics
"oxytetracycline, combinations",J01AA56,Antibacterials for systemic use
idoxuridine,J05AB02,Antivirals for systemic use
Antiinflammatory/antirheumatic agents in combination with corticosteroids,M01BA,Anti-inflammatory and antirheumatic products
bezafibrate,C10AB02,Lipid modifying agents
practolol,C07AB01,Beta blocking agents
fluorouracil,L01BC02,Antineoplastic agents
propiverine,G04BD06,Urologicals
mold fungus and yeast fungus allergenic extracts,V01AA04,Allergens
norfenefrine,C01CA05,Cardiac therapy
deslanoside,C01AA07,Cardiac therapy
secobarbital,N05CA06,Psycholeptics
velmanase alfa,A16AB15,Other alimentary tract and metabolism products
"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,Corticosteroids
insect allergenic extracts,V01AA07,Allergens
vinbarbital,N05CA09,Psycholeptics
sitagliptin and ertugliflozin,A10BD24,Drugs used in diabetes
"Progestogens and estrogens, sequential preparations",G03FB,Sex hormones and modulators of the genital system
lonidamine,L01XX07,Antineoplastic agents
lamotrigine,N03AX09,Antiepileptics
loperamide,A07DA03,Antidiarrheals
"rota virus, live attenuated",J07BH01,Vaccines
"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",A11G,Vitamins
sulfapyridine,J01EB04,Antibacterials for systemic use
"paracetamol, combinations with psycholeptics",N02BE71,Analgesics
ritonavir,J05AE03,Antivirals for systemic use
Other analgesics and antipyretics in ATC,N02BG,Analgesics
lenograstim,L03AA10,Immunostimulants
"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC",S01B,Ophthalmologicals
carbetocin,H01BB03,Pituitary and hypothalamic hormones and analogues
"poliomyelitis, trivalent, inactivated, whole virus",J07BF03,Vaccines
methylprednisolone,D07AA01,Corticosteroids
eslicarbazepine,N03AF04,Antiepileptics
"lidocaine, combinations",N01BB52,Anesthetics
anakinra,L04AC03,Immunosuppressants
Androgens and estrogens,G03EA,Sex hormones and modulators of the genital system
hyaluronic acid,S01KA01,Ophthalmologicals
ritiometan,R01AX05,Nasal preparations
canrenone,C03DA03,Diuretics
dydrogesterone and estrogen,G03FB08,Sex hormones and modulators of the genital system
Other cytotoxic antibiotics in ATC,L01DC,Antineoplastic agents
guar gum,A10BX01,Drugs used in diabetes
ivermectin,D11AX22,Other dermatological preparations
"chlorphenoxamine, combinations",R06AA56,Antihistamines for systemic use
plastic IUD with copper,G02BA02,Other gynecologicals
glycerol,A06AG04,Drugs for constipation
STOMATOLOGICAL PREPARATIONS,A01,Stomatological preparations
metergoline,G02CB05,Other gynecologicals
propiomazine,N05CM06,Psycholeptics
"chlormezanone, combinations with psycholeptics",M03BB72,Muscle relaxants
sodium folinate,V03AF06,All other therapeutic products
adapalene,D10AD03,Anti-acne preparations
paramethadione,N03AC01,Antiepileptics
Cimicifugae rhizoma,G02CX04,Other gynecologicals
VITAMINS,A11,Vitamins
boric acid,S02AA03,Otologicals
"Artemisinin and derivatives, plain",P01BE,Antiprotozoals
lifitegrast,S01XA25,Ophthalmologicals
sulfur compounds,D11AC08,Other dermatological preparations
phenprocoumon,B01AA04,Antithrombotic agents
rasagiline,N04BD02,Anti-parkinson drugs
pancreozymin (cholecystokinin),V04CK02,Diagnostic agents
Varicella zoster vaccines,J07BK,Vaccines
carbuterol,R03AC10,Drugs for obstructive airway diseases
roxatidine,A02BA06,Drugs for acid related disorders
Soft paraffin dressings,D09AX,Medicated dressings
niraparib,L01XX54,Antineoplastic agents
acriflavinium chloride,R02AA13,Throat preparations
Other sex hormones and modulators of the genital system in ATC,G03XX,Sex hormones and modulators of the genital system
Tissue adhesives,V03AK,All other therapeutic products
ethacridine lactate,B05CA08,Blood substitutes and perfusion solutions
Fibrinogen containing hemostatics,B02BB,Antihemorrhagics
fluticasone,R03BA05,Drugs for obstructive airway diseases
ciclesonide,R03BA08,Drugs for obstructive airway diseases
BETA BLOCKING AGENTS AND THIAZIDES,C07B,Beta blocking agents
azilsartan medoxomil and diuretics,C09DA09,Agents acting on the renin–angiotensin system
"clofenotane, combinations",P03AB51,Ectoparasiticides
"MAO A Inhibitors, antidepressant drugs",N06AG,Psychoanaleptics
potassium polysulfide,P03AA02,Ectoparasiticides
iodoxamic acid,V08AC01,Contrast media
"HMG CoA reductase inhibitors, plain lipid modifying drugs",C10AA,Lipid modifying agents
meclofenamic acid,M01AG04,Anti-inflammatory and antirheumatic products
dihydrocodeine and other non-opioid analgesics,N02AJ03,Analgesics
"Purine analogs, antimetabolites antineoplastic",L01BB,Antineoplastic agents
saruplase,B01AD08,Antithrombotic agents
mesulfen,D10AB05,Anti-acne preparations
bupropion,N06AX12,Psychoanaleptics
cough suppressants and mucolytics,R05FB01,Cough and cold preparations
pyridostigmine,N07AA02,Other nervous system drugs
benzbromarone,M04AB03,Antigout preparations
nalmefene,N07BB05,Other nervous system drugs
Other estrogens in ATC,G03CX,Sex hormones and modulators of the genital system
"Taxanes, antineoplastic",L01CD,Antineoplastic agents
"pneumococcus, purified polysaccharides antigen conjugated",J07AL02,Vaccines
benzododecinium,D09AA05,Medicated dressings
Other drugs used in benign prostatic hypertrophy in ATC,G04CX,Urologicals
chloramphenicol,D10AF03,Anti-acne preparations
INFANT FORMULAS,V06C,General nutrients
ephedrine,R01AB05,Nasal preparations
phenoxymethylpenicillin,J01CE02,Antibacterials for systemic use
Congenital Abnormality,T019,NA
Psychostimulants in combination with psycholeptics,N06CB,Psychoanaleptics
cisapride,A03FA02,Drugs for functional gastrointestinal disorders
aniracetam,N06BX11,Psychoanaleptics
hydrocortisone and antiinfectives,S03CA04,Ophthalmological and otological preparations
betamethasone,R01AD06,Nasal preparations
"fentanyl, combinations",N01AH51,Anesthetics
celecoxib,M01AH01,Anti-inflammatory and antirheumatic products
ximelagatran,B01AE05,Antithrombotic agents
metformin and sulfonylureas,A10BD02,Drugs used in diabetes
pipazetate,R05DB11,Cough and cold preparations
"penicillins, combinations with other antibacterials",J01RA01,Antibacterials for systemic use
Drugs for embolisation,V03AM,All other therapeutic products
diphtheria-pertussis-poliomyelitis-tetanus,J07CA02,Vaccines
tuaminoheptane,R01AB08,Nasal preparations
otologic analgesic and anesthetic combinations,S02DA30,Otologicals
Papillomavirus vaccines,J07BM,Vaccines
ergot alkaloids,G02AB02,Other gynecologicals
ANTIEMETICS AND ANTINAUSEANTS,A04,Antiemetics and antinauseants
"perindopril, amlodipine and indapamide",C09BX01,Agents acting on the renin–angiotensin system
eculizumab,L04AA25,Immunosuppressants
OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11A,Other dermatological preparations
acrivastine,R06AX18,Antihistamines for systemic use
timolol and thiazides,C07BA06,Beta blocking agents
Event,T051,NA
ANABOLIC AGENTS FOR SYSTEMIC USE,A14,Anabolic agents for systemic use
levonorgestrel and ethinylestradiol,G03AA07,Sex hormones and modulators of the genital system
"Iron bivalent, oral antianemic preparations",B03AA,Antianemic preparations
diphtheria toxoid,J07AF01,Vaccines
ferrous tartrate,B03AA08,Antianemic preparations
Betulae cortex,D03AX13,Preparations for treatment of wounds and ulcers
Immunologic Factor,T129,NA
levoverbenone,R05CA11,Cough and cold preparations
clarithromycin,J01FA09,Antibacterials for systemic use
xylometazoline,S01GA03,Ophthalmologicals
diprophylline and adrenergics,R03DB01,Drugs for obstructive airway diseases
brimonidine,S01EA05,Ophthalmologicals
etidronic acid,M05BA01,Drugs for treatment of bone diseases
insulin glargine and lixisenatide,A10AE54,Drugs used in diabetes
drospirenone and estrogen,G03FA17,Sex hormones and modulators of the genital system
THYROID PREPARATIONS,H03A,Thyroid therapy
samarium (153Sm) hydroxyapatite colloid,V10AX02,Therapeutic radiopharmaceuticals
"atenolol and other diuretics, combinations",C07CB53,Beta blocking agents
Bile acid sequestrants,C10AC,Lipid modifying agents
diphtheria-hepatitis B-pertussis-tetanus,J07CA05,Vaccines
Gonadotropin-releasing hormones,H01CA,Pituitary and hypothalamic hormones and analogues
Antacids with antispasmodics,A02AG,Drugs for acid related disorders
cimetropium bromide,A03BB05,Drugs for functional gastrointestinal disorders
flomoxef,J01DC14,Antibacterials for systemic use
zinc acetate,A16AX05,Other alimentary tract and metabolism products
"typhus exanthematicus, inactivated, whole cell",J07AR01,Vaccines
Selective immunosuppressants,L04AA,Immunosuppressants
alprostadil,G04BE01,Urologicals
enoximone,C01CE03,Cardiac therapy
dexamethasone,D07XB05,Corticosteroids
"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders",A03BB,Drugs for functional gastrointestinal disorders
cetirizine,R06AE07,Antihistamines for systemic use
silver sulfadiazine,D06BA01,Antibiotics and chemotherapeutics for dermatological use
caroverine,A03AX11,Drugs for functional gastrointestinal disorders
Various alimentary tract and metabolism products,A16AX,Other alimentary tract and metabolism products
tribenoside,C05CX01,Vasoprotectives
"Corticosteroids, moderately potent, other combinations",D07XB,Corticosteroids
"Preparations containing sulfur, anti-acne preparations for topical use",D10AB,Anti-acne preparations
Other anterior pituitary lobe hormones and analogues in ATC,H01AX,Pituitary and hypothalamic hormones and analogues
"Carboxamide derivatives, antiepileptics",N03AF,Antiepileptics
interferon gamma,L03AB03,Immunostimulants
fluprednidene,D07AB07,Corticosteroids
colistin,J01XB01,Antibacterials for systemic use
ganciclovir,S01AD09,Ophthalmologicals
metronidazole,G01AF01,Gynecological antiinfectives and antiseptics
sulfadimethoxine,J01ED01,Antibacterials for systemic use
phenoperidine,N01AH04,Anesthetics
COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,C02N,Antihypertensives
oxytetracycline,G01AA07,Gynecological antiinfectives and antiseptics
metopimazine,A04AD05,Antiemetics and antinauseants
dexamethasone and antiinfectives,S03CA01,Ophthalmological and otological preparations
chloroquine,P01BA01,Antiprotozoals
ketanserin,C02KD01,Antihypertensives
Other drugs for constipation in ATC,A06AX,Drugs for constipation
mefloquine,P01BC02,Antiprotozoals
efavirenz,J05AG03,Antivirals for systemic use
paramethasone,H02AB05,Corticosteroids for systemic use
various other intestinal adsorbents in ATC,M02AX10,Topical products for joint and muscular pain
insulin (pork),A10AB03,Drugs used in diabetes
ketobemidone,N02AB01,Analgesics
cefoxitin,J01DC01,Antibacterials for systemic use
Acetic acid derivatives and related substances,M01AB,Anti-inflammatory and antirheumatic products
sulfametoxydiazine,J01ED04,Antibacterials for systemic use
betamethasone,S01BA06,Ophthalmologicals
sorbitol,A06AD18,Drugs for constipation
viloxazine,N06AX09,Psychoanaleptics
insulin glulisine,A10AB06,Drugs used in diabetes
thiocolchicoside,M03BX05,Muscle relaxants
elotuzumab,L01XC23,Antineoplastic agents
chlorzoxazone,M03BB03,Muscle relaxants
fusidic acid,D09AA02,Medicated dressings
lepirudin,B01AE02,Antithrombotic agents
"Alkaloids, excl. rauwolfia, in combination with diuretics",C02LK,Antihypertensives
oxazepam,N05BA04,Psycholeptics
"chloropyramine, combinations",R06AC53,Antihistamines for systemic use
monobenzone,D11AX13,Other dermatological preparations
"Other drugs for obstructive airway diseases, inhalants in ATC",R03BX,Drugs for obstructive airway diseases
Vitamin K containing hemostatics,B02BA,Antihemorrhagics
paracetamol,N02BE01,Analgesics
colestilan,V03AE06,All other therapeutic products
rimazolium,N02BG02,Analgesics
Capsaicin and similar agents,M02AB,Topical products for joint and muscular pain
"pentaerithrityl tetranitrate, combinations",C01DA55,Cardiac therapy
Dichloroacetamide derivative drugs for amoebiasis and other protozoal diseases,P01AC,Antiprotozoals
indometacin,M02AA23,Topical products for joint and muscular pain
"Corticosteroids and antiinfectives in combination, opthalmologic and otologic",S03C,Ophthalmological and otological preparations
Body Space or Junction,T030,NA
"streptokinase, combinations",B06AA55,Other hematological agents
canakinumab,L04AC08,Immunosuppressants
artemether,P01BE02,Antiprotozoals
alectinib,L01XE36,Antineoplastic agents
chloramphenicol,S01AA01,Ophthalmologicals
mibefradil,C08CX01,Calcium channel blockers
patiromer calcium,V03AE09,All other therapeutic products
benzylthiouracil,H03BA03,Thyroid therapy
copper oleinate,P03AX02,Ectoparasiticides
bucetin,N02BE04,Analgesics
dixyrazine,N05AB01,Psycholeptics
"Monoamine oxidase inhibitors, non-selective",N06AF,Psychoanaleptics
technetium (99mTc) phytate,V09DB07,Diagnostic radiopharmaceuticals
febuxostat,M04AA03,Antigout preparations
brexpiprazole,N05AX16,Psycholeptics
pentazocine,N02AD01,Analgesics
penicillamine,M01CC01,Anti-inflammatory and antirheumatic products
protirelin,V04CJ02,Diagnostic agents
technetium (99mTc) human albumin,V09GA04,Diagnostic radiopharmaceuticals
tertatolol,C07AA16,Beta blocking agents
