Drug,CHEMBL,ATC
trazodone,CHEMBL1200798,N06AX05
meropenem and vaborbactam,CHEMBL127,J01DH52
proxyphylline and adrenergics,CHEMBL37390,R03DB03
calcium alginate,CHEMBL3707407,B02BC08
mitomycin,CHEMBL328333,L01DC03
elcatonin,CHEMBL2104402,H05BA04
insulin degludec and liraglutide,CHEMBL2107869,A10AE56
pravastatin and fenofibrate,CHEMBL1201745,C10BA03
Insulins and analogues for inhalation,CHEMBL496957,A10AF
Nucleosides and nucleotides excl. reverse transcriptase inhibitors,CHEMBL31634,J05AB
lynestrenol and ethinylestradiol,CHEMBL2107431,G03AA03
oxprenolol and thiazides,CHEMBL1200745,C07BA02
cromoglicic acid,CHEMBL428880,R03BC01
biphenylol,CHEMBL244264,D08AE06
enfuvirtide,CHEMBL4085102,J05AX07
Other antidepressants in ATC,CHEMBL3527138,N06AX
ferric ammonium citrate,CHEMBL1200460,V08CA07
pirfenidone,CHEMBL1256391,L04AX05
erbium (169Er) citrate colloid,CHEMBL2108009,V10AX04
garenoxacin,CHEMBL3183451,J01MA19
methylprednisolone and antibiotics,CHEMBL1364144,D07CA02
bamipine,CHEMBL520400,R06AX01
piroxicam,CHEMBL527,S01BC06
chlorphenesin,CHEMBL607710,D01AE07
pantoprazole,CHEMBL1502,A02BC02
epinephrine,CHEMBL1256958,S01EA01
dicycloverine,CHEMBL1123,A03AA07
propafenone,CHEMBL1201063,C01BC03
norgestimate and estrogen,CHEMBL1200934,G03FA13
oxycinchophen,CHEMBL219376,M01CA03
clofezone,CHEMBL3833391,M01AA05
clonidine,CHEMBL1705,S01EA04
algeldrate,CHEMBL3833310,A02AB02
Enzymes for ALIMENTARY TRACT AND METABOLISM,CHEMBL496957,A16AB
acetylcysteine,CHEMBL600,V03AB23
esomeprazole,CHEMBL2146133,A02BC05
galsulfase,CHEMBL1201822,A16AB08
ANTI-PARKINSON DRUGS,CHEMBL2108941,N04
fludrocortisone and antiinfectives,CHEMBL4303446,S02CA07
IRON ANTIANEMIC PREPARATIONS,CHEMBL1200823,B03A
histapyrrodine,CHEMBL2105039,R06AC02
bornaprine,CHEMBL4297087,N04AA11
epomediol,CHEMBL3707255,A05BA05
almitrine,CHEMBL1183717,R07AB07
OTHER OTOLOGICALS in ATC,CHEMBL3527138,S02D
cycloguanil embonate,CHEMBL3989825,P01BB02
"Butylpyrazolidines, antiinflammatory and antirheumatic drugs",CHEMBL2107720,M01AA
contact laxatives in combination with belladonna alkaloids,CHEMBL2108906,A06AB30
phenylmercuric borate,CHEMBL3833355,D08AK02
molgramostim,CHEMBL2109134,L03AA03
sodium propionate,CHEMBL500826,S01AX10
alefacept,CHEMBL1201571,L04AA15
vancomycin,CHEMBL262777,J01XA01
ofloxacin,CHEMBL4127074,S02AA16
moxisylyte,CHEMBL159226,G04BE06
allobarbital,CHEMBL267719,N05CA21
cefalexin,CHEMBL1200544,J01DB01
morphine,CHEMBL70,N02AA01
metenolone,CHEMBL2106880,A14AA04
ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,CHEMBL1201477,L02
dalbavancin,CHEMBL3301669,J01XA04
neomycin,CHEMBL3989751,D06AX04
Vitamin B-complex with minerals,CHEMBL2108015,A11EC
ketorolac,CHEMBL1201124,M01AB15
cefazolin,CHEMBL1200523,J01DB04
"Corticosteroids, weak, combinations with antibiotics",CHEMBL1095283,D07CA
Liver therapy drugs,CHEMBL2108519,A05BA
grepafloxacin,CHEMBL2074711,J01MA11
alitretinoin,CHEMBL705,L01XX22
ampicillin,CHEMBL1200758,J01CA01
etacrynic acid,CHEMBL456,C03CC01
"Artemisinin and derivatives, combinations",CHEMBL269671,P01BF
"methaqualone, combinations",CHEMBL2106829,N05CX02
gentamicin,CHEMBL194126,D06AX07
oxytetracycline,CHEMBL1517,J01AA06
bisoprolol and amlodipine,CHEMBL1200984,C07FB07
acetylleucine,CHEMBL1875805,N07CA04
piretanide,CHEMBL349803,C03CA03
bexarotene,CHEMBL1023,L01XX25
Physiologic Function,CHEMBL2108550,T039
"Androgen, progestogen and estrogen in combination",CHEMBL592868,G03EB
OTHER VACCINES in ATC,CHEMBL3527138,J07X
"Mineralocorticoids for systemic use, plain",CHEMBL496957,H02AA
abacavir,CHEMBL1200619,J05AF06
spaglumic acid,CHEMBL2105616,S01GX03
"Pregnen (4) derivatives, progestogens",CHEMBL103,G03DA
Fourth-generation cephalosporins,CHEMBL65794,J01DE
riluzole,CHEMBL744,N07XX02
naphazoline,CHEMBL1706,R01AA08
doxefazepam,CHEMBL64677,N05CD12
"pyrrobutamine, combinations",CHEMBL1697849,R06AX58
"cholera, inactivated, whole cell",CHEMBL2108939,J07AE01
combinations of imidazole derivatives,CHEMBL405284,G01AF20
"dexbrompheniramine, combinations",CHEMBL1201287,R06AB56
"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen",CHEMBL2108795,J07AH04
SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,CHEMBL1276308,G03
lisdexamfetamine,CHEMBL1201222,N06BA12
cilnidipine,CHEMBL452076,C08CA14
gadofosveset,CHEMBL1908843,V08CA11
"Colchicine derivatives, antineooplastic",CHEMBL107,L01CC
"BETA BLOCKING AGENTS, OTHER COMBINATIONS",CHEMBL3527138,C07F
ANTIINFECTIVE OPHTHALMOLOGICS,CHEMBL1398631,S01A
Combinations of drugs for treatment of tuberculosis,CHEMBL218650,J04AM
pazopanib,CHEMBL477772,L01XE11
alirocumab,CHEMBL2109540,C10AX14
levomethadone,CHEMBL159659,N07BC05
Solutions for parenteral nutrition,CHEMBL1201498,B05BA
cinchocaine,CHEMBL1086,S01HA06
magnesium phosphate,CHEMBL3989627,B05XA10
gepefrine,CHEMBL3989731,C01CA15
Local hemostatics,CHEMBL2107991,B02BC
ULTRASOUND CONTRAST MEDIA,CHEMBL1796998,V08D
dapsone,CHEMBL1043,J04BA02
nifuroxazide,CHEMBL244888,A07AX03
ciclopirox,CHEMBL1413,G01AX12
Yellow fever vaccines,CHEMBL2108816,J07BL
parnaparin,CHEMBL3707207,B01AB07
ketoprofen,CHEMBL571,M01AE03
fluocinolone acetonide and antiinfectives,CHEMBL989,S01CA10
benzocaine,CHEMBL278172,R02AD01
Drugs used in opioid dependence,CHEMBL159659,N07BC
"emtricitabine, tenofovir disoproxil and efavirenz",CHEMBL1486,J05AR06
"heparin, combinations",CHEMBL1201513,B01AB51
metronidazole,CHEMBL1200869,A01AB17
"pyrethrum, combinations",CHEMBL2108766,P03AC51
hydrochloric acid,CHEMBL1231821,B05XA13
octopamine,CHEMBL1367565,C01CA18
Plague vaccines,CHEMBL2107906,J07AK
"Agents for dermatitis, excluding corticosteroids",CHEMBL1200686,D11AH
midecamycin,CHEMBL1908336,J01FA03
dimetindene,CHEMBL22108,D04AA13
iofendylate,CHEMBL951,V08AD04
ethylmorphine,CHEMBL2107695,R05DA01
BETA BLOCKING AGENTS,CHEMBL6995,C07A
obiltoxaximab,CHEMBL3544926,J06BB22
sodium sulfate,CHEMBL233406,A12CA02
Alkyl sulfonate alkylating agents,CHEMBL820,L01AB
Other immunosuppressants in ATC,CHEMBL3527138,L04AX
omoconazole,CHEMBL2046550,D01AC13
ALL OTHER NON-THERAPEUTIC PRODUCTS,CHEMBL415284,V07A
lutropin alfa,CHEMBL1201419,G03GA07
bromfenac,CHEMBL1077,S01BC11
"Corticosteroids, weak, other combinations",CHEMBL3527138,D07XA
Other viral vaccines in ATC,CHEMBL2109201,J07BX
rimantadine,CHEMBL959,J05AC02
colestipol,CHEMBL1201474,C10AC02
Amide local anesthetic combinations,CHEMBL79,N01BB20
"ethosuximide, combinations",CHEMBL696,N03AD51
sucralfate,CHEMBL3989780,A02BX02
amphotericin B,CHEMBL267345,A01AB04
ANTI-PARATHYROID AGENTS,CHEMBL2108078,H05B
ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMBL1200453,D06
isoprenaline,CHEMBL1160723,R03CB01
Tetanus vaccines,CHEMBL2108107,J07AM
valganciclovir,CHEMBL1201314,J05AB14
pralatrexate,CHEMBL1201746,L01BA05
isepamicin,CHEMBL272080,J01GB11
ambutonium and psycholeptics,CHEMBL2105972,A03CA07
mifamurtide,CHEMBL2107354,L03AX15
"rutoside, combinations",CHEMBL3527416,C05CA51
cetylpyridinium,CHEMBL2003538,B05CA01
prasterone,CHEMBL4303179,G03XX01
antibiotics in combination with other drugs,CHEMBL3527138,S01AA20
"encephalitis, Japanese, inactivated, whole virus",CHEMBL2109163,J07BA02
stepronin,CHEMBL2107531,R05CB11
hydrocortisone,CHEMBL389621,S01CB03
strontium ranelate,CHEMBL3707306,M05BX03
xipamide,CHEMBL517199,C03BA10
technetium (99mTc) oxidronic acid,CHEMBL1201524,V09BA01
"Silver compounds, antiseptics and disinfectants",CHEMBL177367,D08AL
perindopril and diuretics,CHEMBL1581,C09BA04
glycobiarsol,CHEMBL1788392,P01AR03
propantheline,CHEMBL1180725,A03AB05
mebicar,CHEMBL3707390,N06BX21
pinaverium,CHEMBL1909324,A03AX04
minoxidil,CHEMBL802,C02DC01
ibudilast,CHEMBL4204890,R03DC04
imidazole salicylate,CHEMBL2104788,N02BA16
amoxicillin and beta-lactamase inhibitor,CHEMBL2105950,J01CR02
proxazole,CHEMBL2106997,A03AX07
"tetanus toxoid, combinations with tetanus immunoglobulin",CHEMBL2108875,J07AM52
galantamine,CHEMBL3764305,N06DA04
"Synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",CHEMBL1201286,A03AB
"Nitroimidazole derivatives, antiprotozoal agents against amoebiasis and other protozoal diseases",CHEMBL498847,P01AB
piperacillin and beta-lactamase inhibitor,CHEMBL1200820,J01CR05
Vasopressin and analogues,CHEMBL1201528,H01BA
daptomycin,CHEMBL387675,J01XX09
cefcapene,CHEMBL582912,J01DD17
cobimetinib,CHEMBL2364607,L01XE38
dextromoramide,CHEMBL3833311,N02AC01
sulfamoxole and trimethoprim,CHEMBL2105399,J01EE04
atomoxetine,CHEMBL1702,N06BA09
sermorelin,CHEMBL1201490,V04CD03
"Corticosteroids, potent, other combinations",CHEMBL3527138,D07XC
demeclocycline,CHEMBL1591,D06AA01
cadexomer iodine,CHEMBL2108938,D03AX01
podophyllotoxin,CHEMBL61,D06BB04
tipepidine,CHEMBL1899506,R05DB24
LOCAL ANESTHETICS,CHEMBL46058,N01B
tocainide,CHEMBL1762,C01BB03
methylrosaniline,CHEMBL592105,G01AX09
dextropropoxyphene,CHEMBL1213351,N02AC04
"ANTIINFECTIVE DRUGS, OTOLOGIC",CHEMBL437765,S02A
glibenclamide,CHEMBL472,A10BB01
Amino acids and derivatives,CHEMBL1201498,A16AA
glucosamine,CHEMBL606759,M01AX05
chlorpromazine,CHEMBL71,N05AA01
acepromazine,CHEMBL1883146,N05AA04
calcium pantothenate,CHEMBL1901349,A11HA31
"Sensitivity tests, discs and tablets",CHEMBL1628401,V07AR
menadione,CHEMBL590,B02BA02
"measles, combinations with rubella, live attenuated",CHEMBL2109211,J07BD53
clefamide,CHEMBL1788400,P01AC02
ceftriaxone,CHEMBL3183968,J01DD04
troxerutin,CHEMBL3182320,C05CA04
dexamethasone,CHEMBL384467,S03BA01
sulfamerazine and trimethoprim,CHEMBL438,J01EE07
Other antiseptics and disinfectants in ATC,CHEMBL3527138,D08AX
Other insecticides and repellents in ATC,CHEMBL3527138,P03BX
cefpodoxime and beta-lactamase inhibitor,CHEMBL1201016,J01DD64
apronal,CHEMBL509282,N05CM12
iodixanol,CHEMBL1200507,V08AB09
"hemophilus influenzae B, purified antigen conjugated",CHEMBL4298071,J07AG01
caspofungin,CHEMBL499808,J02AX04
Medical Device,CHEMBL2108889,T074
pipamperone,CHEMBL440294,N05AD05
"typhoid, combinations with paratyphi types",CHEMBL2108822,J07AP10
melanoma vaccine,CHEMBL2108905,L03AX12
tramadol and other non-opioid analgesics,CHEMBL4059722,N02AJ15
medrogestone,CHEMBL2106825,G03DB03
"dextromethorphan, combinations",CHEMBL52440,N07XX59
"Technetium (99mTc), inhalants",CHEMBL1201524,V09EA
zafirlukast,CHEMBL603,R03DC01
"hydroxyzine, combinations",CHEMBL1200467,N05BB51
"etidronic acid and calcium, sequential",CHEMBL871,M05BB01
Other urologicals in ATC,CHEMBL3527138,G04BX
befunolol,CHEMBL153984,S01ED06
rosuvastatin,CHEMBL1744447,C10AA07
Potassium,CHEMBL1141,A12BA
timolol,CHEMBL1200870,C07AA06
"Butyrophenone derivatives, antipsychotics",CHEMBL54,N05AD
olopatadine,CHEMBL1189432,R01AC08
flucloxacillin,CHEMBL222645,J01CF05
pipobroman,CHEMBL1585,L01AX02
cetrimide,CHEMBL113150,D11AC01
cladribine,CHEMBL1619,L04AA40
peginterferon beta-1a,CHEMBL2108677,L03AB13
PROTEIN SUPPLEMENTS,CHEMBL1201652,V06B
Zinc bandages,CHEMBL3988900,D09AB
"Ethers of tropine or tropine derivatives, anticholinergic",CHEMBL1235490,N04AC
amfepramone,CHEMBL1194666,A08AA03
Cosmetics,CHEMBL1201574,V07AT
spirapril,CHEMBL1200831,C09AA11
melatonin,CHEMBL45,N05CH01
AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,CHEMBL1639,C09
pipotiazine,CHEMBL2106439,N05AC04
"Magnesium supplements, alimentary tract and metabolism",CHEMBL3989462,A12CC
"bisacodyl, combinations",CHEMBL942,A06AB52
tiabendazole,CHEMBL625,P02CA02
nicotinic acid,CHEMBL573,C04AC01
combinations of levothyroxine and liothyronine,CHEMBL2103741,H03AA03
plitidepsin,CHEMBL451930,L01XX57
Drugs used in alcohol dependence,CHEMBL982,N07BB
"Indicator, Reagent, or Diagnostic Aid",CHEMBL2108852,T130
amphotericin B,CHEMBL267345,J02AA01
porfimer sodium,CHEMBL1201481,L01XD01
stannous fluoride,CHEMBL1909079,A01AA04
pancuronium,CHEMBL1200757,M03AC01
dichlorobenzyl alcohol,CHEMBL2323840,R02AA03
calcitonin (salmon synthetic),CHEMBL3989767,H05BA01
temocapril,CHEMBL2110627,C09AA14
clotiapine,CHEMBL304902,N05AH06
DECONGESTANTS AND ANTIALLERGICS,CHEMBL594,S01G
tryptophan,CHEMBL552941,N06AX02
norelgestromin and ethinylestradiol,CHEMBL1200807,G03AA13
indobufen,CHEMBL1765292,B01AC10
gadopentetic acid,CHEMBL1200431,V08CA01
nicardipine,CHEMBL1200326,C08CA04
Anticholinesterase parasympathomimetics,CHEMBL278020,N07AA
Testosterone-5-alpha reductase inhibitors for benign prostatic hypertrophy,CHEMBL1200969,G04CB
ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,CHEMBL1628401,L
thiram,CHEMBL120563,P03AA05
Yttrium-90 antiinflammatory radiopharmaceuticals,CHEMBL2108708,V10AA
INTESTINAL ANTIINFECTIVES,CHEMBL525028,A07A
Prostaglandin drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),CHEMBL1201186,A02BB
nisoldipine,CHEMBL1726,C08CA07
ioglicic acid,CHEMBL2105024,V08AA06
gadoteridol,CHEMBL1200593,V08CA04
Renin-inhibitors,CHEMBL31601,C09XA
iodine/octylphenoxypolyglycolether,CHEMBL1201225,D08AG01
"adapalene, combinations",CHEMBL1265,D10AD53
methallenestril,CHEMBL1697842,G03CC03
metandienone,CHEMBL1418176,D11AE01
oxedrine,CHEMBL33720,C01CA08
vestronidase alfa,CHEMBL3707382,A16AB18
fenofibrate,CHEMBL672,C10AB05
metoprolol and other diuretics,CHEMBL2356097,C07CB02
trospium,CHEMBL1888176,G04BD09
treosulfan,CHEMBL455186,L01AB02
astemizole,CHEMBL296419,R06AX11
bromochlorosalicylanilide,CHEMBL153192,D01AE01
semustine,CHEMBL12948,L01AD03
thalidomide,CHEMBL426123,L04AX02
gemcitabine,CHEMBL3039516,L01BC05
guanoclor,CHEMBL2110641,C02CC05
pimecrolimus,CHEMBL1200686,D11AH02
Adrenergic and dopaminergic cardiac stimulants,CHEMBL86882,C01CA
DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,CHEMBL2105322,R01A
hydroxocobalamin,CHEMBL2103737,V03AB33
dupilumab,CHEMBL2108675,D11AH05
MEDICATED DRESSINGS,CHEMBL1451116,D09
"sodium fluoride, combinations",CHEMBL1528,A01AA51
hydrocortisone and mydriatics,CHEMBL2106309,S01BB01
Biomedical Occupation or Discipline,CHEMBL3645269,T091
ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS,CHEMBL2108709,D03B
atezolizumab,CHEMBL3707227,L01XC32
Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,CHEMBL2108504,R03AL
undecylenic acid,CHEMBL1276010,D01AE04
"vilanterol, umeclidinium bromide and fluticasone furoate",CHEMBL1676,R03AL08
etamivan,CHEMBL1229908,R07AB04
hydrogen peroxide,CHEMBL71595,D11AX25
mofebutazone,CHEMBL1892201,M01AA02
Acquired Abnormality,CHEMBL337612,T020
norgestrel and estrogen,CHEMBL2107797,G03FA10
castor oil,CHEMBL2109005,A06AB05
laronidase,CHEMBL1201595,A16AB05
Other antinematodals in ATC,CHEMBL3527138,P02CX
melevodopa,CHEMBL1328898,N04BA04
nordazepam,CHEMBL523,N05BA16
metformin and repaglinide,CHEMBL1431,A10BD14
ketobemidone and antispasmodics,CHEMBL47072,N02AG02
acenocoumarol,CHEMBL397420,B01AA07
lenvatinib,CHEMBL1289601,L01XE29
hydrogen peroxide,CHEMBL71595,S02AA06
OCULAR VASCULAR DISORDER AGENTS,CHEMBL2218885,S01L
Contact laxatives,CHEMBL53418,A06AB
meropenem,CHEMBL127,J01DH02
Papaverine and derivatives containing drugs for functional gastrointestinal disorders,CHEMBL551978,A03AD
amrubicin,CHEMBL1186894,L01DB10
ANTIMYCOTICS FOR SYSTEMIC USE,CHEMBL496957,J02
"fluorouracil, combinations",CHEMBL185,L01BC52
etamiphylline,CHEMBL2104264,R03DA06
ANTIDIARRHEAL MICROORGANISMS,CHEMBL2108174,A07F
"MAO B Inhibitors, dopaminergic anti-parkinson drugs",CHEMBL396778,N04BD
prednylidene,CHEMBL2105359,H02AB11
tulobuterol,CHEMBL1256478,R03CC11
phenothrin,CHEMBL1322884,P03AC03
chlorhexidine,CHEMBL1628,S02AA09
Pertussis vaccines,CHEMBL2109219,J07AJ
sodium picosulfate,CHEMBL1697768,A06AB08
trifarotene,CHEMBL3707313,D10AD06
glucarpidase,CHEMBL1863515,V03AF09
melitracen and psycholeptics,CHEMBL2107109,N06CA02
Valerianae radix,CHEMBL2108165,N05CM09
OTHER BETA-LACTAM ANTIBACTERIALS in ATC,CHEMBL3780336,J01D
"silver sulfadiazine, combinations",CHEMBL1382627,D06BA51
ropinirole,CHEMBL1200411,N04BC04
Professional Society,CHEMBL582,T094
Antigonadotropins and similar agents,CHEMBL1628401,G03XA
cefotiam,CHEMBL1200589,J01DC07
phanquinone,CHEMBL531048,P01AX04
triamcinolone,CHEMBL1200449,H02AB08
tapentadol,CHEMBL1201776,N02AX06
tolcapone,CHEMBL1324,N04BX01
"Pyrimidine analogues, antineoplastic antimetabolites",CHEMBL888,L01BC
Medicated dressings with antiinfectives,CHEMBL1451116,D09AA
Monobactams,CHEMBL1614658,J01DF
pheneticillin,CHEMBL1614637,J01CE05
eosin,CHEMBL408917,D08AX02
ANTIVIRALS FOR SYSTEMIC USE,CHEMBL496957,J05
dipyridamole,CHEMBL932,B01AC07
doxepin,CHEMBL1628234,N06AA12
parecoxib,CHEMBL1206690,M01AH04
"nicotinic acid, combinations",CHEMBL573,C10AD52
cyclobenzaprine,CHEMBL1200636,M03BX08
Centrally acting sympathomimetics,CHEMBL1373,N06BA
"Pregnadien derivatives, progestogens",CHEMBL3753791,G03DB
ofatumumab,CHEMBL1201836,L01XC10
telaprevir,CHEMBL573043,J05AP02
ganirelix,CHEMBL1251,H01CC01
mecasermin,CHEMBL1201716,H01AC03
reserpine and diuretics,CHEMBL772,C02LA01
QUINOLONE ANTIBACTERIALS,CHEMBL76684,J01M
dienogest,CHEMBL1201864,G03DB08
alizapride,CHEMBL290194,A03FA05
prolintane,CHEMBL2111047,N06BX14
cytisine,CHEMBL497939,N07BA04
clopamide,CHEMBL1361347,C03BA03
Combinations of oral blood glucose lowering drugs,CHEMBL471498,A10BD
"macrogol, combinations",CHEMBL457299,A06AD65
Beta-lactamase sensitive penicillins,CHEMBL1628385,J01CE
Pneumococcal vaccines,CHEMBL2108795,J07AL
"rubella, combinations with mumps, live attenuated",CHEMBL2109201,J07BJ51
calcium gluconate,CHEMBL2106119,D11AX03
LIPID MODIFYING AGENTS,CHEMBL3354642,C10
tesamorelin,CHEMBL1237026,H01AC06
simeprevir,CHEMBL4303318,J05AP05
sulfacetamide,CHEMBL455,D10AF06
capsaicin,CHEMBL294199,M02AB01
Other gynecological antiinfectives and antiseptics in ATC,CHEMBL3527138,G01AX
"chlorzoxazone, combinations excl. psycholeptics",CHEMBL1371,M03BB53
dolutegravir and rilpivirine,CHEMBL1628504,J05AR21
valsartan and aliskiren,CHEMBL1639,C09DX02
polmacoxib,CHEMBL166863,M01AH07
fedrilate,CHEMBL2104591,R05DB14
spiramycin and metronidazole,CHEMBL453514,J01RA04
metizoline,CHEMBL2106879,R01AA10
ergoloid mesylates,CHEMBL2311030,C04AE01
oxedrine,CHEMBL33720,S01GA06
isopropanol,CHEMBL1956007,D08AX05
fenspiride,CHEMBL576127,R03BX01
potassium citrate,CHEMBL3989822,A12BA02
"pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated",CHEMBL4298071,J07AL52
"thiocolchicoside, combinations",CHEMBL213907,M03BX55
technetium (99mTc) technegas,CHEMBL1201524,V09EA02
alclometasone,CHEMBL1200989,S01BA10
"azithromycin, fluconazole and secnidazole",CHEMBL498847,J01RA07
benzonatate,CHEMBL1374379,R05DB01
empagliflozin,CHEMBL2107830,A10BK03
sulfamethizole,CHEMBL1191,D06BA04
dolasetron,CHEMBL2368924,A04AA04
teduglutide,CHEMBL2104987,A16AX08
Combinations for eradication of Helicobacter pylori,CHEMBL496957,A02BD
iclaprim,CHEMBL134561,J01EA03
fosfonet,CHEMBL3989828,J05AD02
"Synthetic anticholinergics, esters with tertiary amino group for functional gastrointestinal disorders",CHEMBL3304486,A03AA
chloropyramine,CHEMBL1194287,D04AA09
peginterferon alfa-2b,CHEMBL1201561,L03AB10
dezocine,CHEMBL1685,N02AX03
Other bacterial vaccines in ATC,CHEMBL2108875,J07AX
carvedilol and ivabradine,CHEMBL471737,C07FX06
voclosporin,CHEMBL2218919,L04AD03
muzolimine,CHEMBL1697760,C03CD01
desmopressin,CHEMBL1200556,H01BA02
"Corticosteroids, moderately potent, combinations with antibiotics",CHEMBL1200877,D07CB
chiniofon,CHEMBL2104146,P01AX01
nicotinyl alcohol,CHEMBL1235535,C10AD05
sincalide,CHEMBL1121,V04CC03
lynestrenol and estrogen,CHEMBL2107431,G03FA07
PERITONEAL DIALYTICS,CHEMBL52609,B05D
tedisamil,CHEMBL2107378,C01BD06
"xylometazoline, combinations",CHEMBL1256400,S01GA53
tiazofurine,CHEMBL108358,L01XX18
sulfamerazine,CHEMBL438,J01ED07
clobetasone,CHEMBL2308885,S01BA09
cibenzoline,CHEMBL87045,C01BG07
Vitamin B-complex with anabolic steroids,CHEMBL2108015,A11ED
tinidazole,CHEMBL1220,P01AB02
mersalyl,CHEMBL1200943,C03BC01
doravirine,CHEMBL2364608,J05AG06
acitretin,CHEMBL1131,D05BB02
mandelic acid,CHEMBL1609,J01XX06
interferon alfa-n1,CHEMBL2108509,L03AB06
pegaptanib,CHEMBL1201421,S01LA03
cromoglicic acid,CHEMBL428880,A07EB01
cefaclor,CHEMBL680,J01DC04
lomefloxacin,CHEMBL2106827,J01MA07
Body Location or Region,CHEMBL3645269,T029
desoximetasone,CHEMBL1766,D07XC02
"glucose, combinations",CHEMBL2108700,C05BB56
thonzylamine,CHEMBL1623738,D04AA01
glycopyrronium bromide,CHEMBL3707243,A03AB02
selexipag,CHEMBL238804,B01AC27
"Arsenic compounds, for leishmaniasis and trypanosomiasis",CHEMBL2447909,P01CD
lacosamide,CHEMBL58323,N03AX18
"prenylamine, combinations",CHEMBL24072,C01DX52
pasireotide,CHEMBL3039583,H01CB05
"Sulfonamides and potassium in combination, low-ceiling diruetics, excluding thiazides",CHEMBL1865258,C03BB
isoflurane,CHEMBL1256,N01AB06
ADRENERGICS FOR SYSTEMIC USE,CHEMBL496957,R03C
fluorocarbon blood substitutes,CHEMBL2108414,B05AA03
sulfafenazol,CHEMBL1109,S01AB05
captopril and diuretics,CHEMBL27686,C09BA01
Other antihypertensives and diuretics in ATC,CHEMBL3527138,C02LX
ademetionine,CHEMBL224120,A16AA02
AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,CHEMBL1631694,P01C
methylphenobarbital,CHEMBL253331,N03AA01
iodine (125I) human albumin,CHEMBL1201451,V09GB02
resorcinol,CHEMBL24147,D10AX02
"Methanolquinolines, antimalarial",CHEMBL416956,P01BC
OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS in ATC,CHEMBL3527138,S03D
thallium (201Tl) chloride,CHEMBL44410,V09GX01
ifenprodil,CHEMBL1256662,C04AX28
Somatostatin and analogues,CHEMBL415022,H01CB
Organic Chemical,CHEMBL539,T109
gatifloxacin,CHEMBL31,S01AE06
"dihydrocodeine, combinations",CHEMBL2062266,N02AA58
felbinac,CHEMBL413965,M02AA08
opicapone,CHEMBL1089318,N04BX04
rubidium (82Rb) chloride,CHEMBL1200727,V09GX04
methyclothiazide and potassium,CHEMBL1577,C03AB08
progabide,CHEMBL287631,N03AG05
fencamfamin,CHEMBL2106270,N06BA06
benralizumab,CHEMBL1742991,R03DX10
Nerve depressant drugs,CHEMBL4297796,V03AZ
dimethylphthalate,CHEMBL323348,P03BX02
niflumic acid,CHEMBL63323,M01AX02
glisoxepide,CHEMBL2106618,A10BB11
fluocortolone,CHEMBL2107415,D07XC05
PSYCHOLEPTICS,CHEMBL580,N05
"Antiinflammatory preparations, non-steroids for topical use",CHEMBL2108694,M02AA
ceftibuten,CHEMBL1605,J01DD14
Direct thrombin inhibitors,CHEMBL2108110,B01AE
technetium (99mTc) sulesomab,CHEMBL1201524,V09HA04
"Fatty acid derivatives, antiepileptics",CHEMBL109,N03AG
cation exchange resins,CHEMBL2108807,V04CG01
sorafenib,CHEMBL1336,L01XE05
caplacizumab,CHEMBL2109624,B01AX07
dapsone,CHEMBL1043,D10AX05
carglumic acid,CHEMBL1201780,A16AA05
tolmetin,CHEMBL1200613,M01AB03
cloperastine,CHEMBL415087,R05DB21
fludroxycortide,CHEMBL1201012,D07AC07
hydroxyzine,CHEMBL896,N05BB01
IMMUNOSTIMULANTS,CHEMBL472562,L03
MAO inhibitors and diuretics,CHEMBL295392,C02LL
faropenem,CHEMBL1257070,J01DI03
pentagastrin,CHEMBL1328,V04CG04
zinc bandage with supplements,CHEMBL2108227,D09AB02
pholcodine,CHEMBL2105224,R05DA08
Iron in various other combinations,CHEMBL1200823,B03AE10
rutoside,CHEMBL3527416,C05CA01
amlodipine and diuretics,CHEMBL1200984,C08GA02
butylscopolamine and analgesics,CHEMBL1618102,A03DB04
diazoxide,CHEMBL4297276,V03AH01
combinations of different antibiotics,CHEMBL1200718,S01AA30
ferric oxide polymaltose complexes,CHEMBL2108597,B03AB05
flucytosine,CHEMBL1463,J02AX01
cloxacillin,CHEMBL1200388,J01CF02
spaglumic acid,CHEMBL2105616,R01AC05
sulbutiamine,CHEMBL2105813,A11DA02
fluorometholone,CHEMBL1200600,C05AA06
trifluperidol,CHEMBL1257039,N05AD02
isopropamide and psycholeptics,CHEMBL1201232,A03CA01
